[Thu Mar 26 13:31:33.579858 2020] [mpm_event:notice] [pid 521:tid 140151666603904] AH00489: Apache/2.4.10 (Debian) configured -- resuming normal operations
[Thu Mar 26 13:31:33.580743 2020] [core:notice] [pid 521:tid 140151666603904] AH00094: Command line: '/usr/sbin/apache2'
[Thu Mar 26 13:45:02.291150 2020] [proxy_fcgi:error] [pid 528:tid 140151418218240] [client 172.17.0.1:38756] AH01068: Got bogus version 112, referer: http://pagebuilder.local/wp-admin/post-new.php?post_type=page
[Thu Mar 26 13:45:02.310219 2020] [proxy_fcgi:error] [pid 528:tid 140151418218240] (22)Invalid argument: [client 172.17.0.1:38756] AH01075: Error dispatching request to : (passing brigade to output filters), referer: http://pagebuilder.local/wp-admin/post-new.php?post_type=page
[Thu Mar 26 13:46:51.560107 2020] [proxy_fcgi:error] [pid 527:tid 140151309113088] [client 172.17.0.1:39196] AH01068: Got bogus version 112, referer: http://pagebuilder.local/wp-admin/post.php?post=8&action=edit
[Thu Mar 26 13:46:51.560314 2020] [proxy_fcgi:error] [pid 527:tid 140151309113088] (22)Invalid argument: [client 172.17.0.1:39196] AH01075: Error dispatching request to : (passing brigade to output filters), referer: http://pagebuilder.local/wp-admin/post.php?post=8&action=edit
[Thu Mar 26 13:47:07.747681 2020] [proxy_fcgi:error] [pid 528:tid 140151476967168] [client 172.17.0.1:39596] AH01068: Got bogus version 112, referer: http://pagebuilder.local/wp-admin/post.php?post=8&action=edit&message=1
[Thu Mar 26 13:47:07.748549 2020] [proxy_fcgi:error] [pid 528:tid 140151476967168] (22)Invalid argument: [client 172.17.0.1:39596] AH01075: Error dispatching request to : (passing brigade to output filters), referer: http://pagebuilder.local/wp-admin/post.php?post=8&action=edit&message=1
[Thu Mar 26 13:48:37.651986 2020] [proxy_fcgi:error] [pid 528:tid 140151367862016] [client 172.17.0.1:39996] AH01068: Got bogus version 112, referer: http://pagebuilder.local/wp-admin/post.php?post=8&action=edit
[Thu Mar 26 13:48:37.652237 2020] [proxy_fcgi:error] [pid 528:tid 140151367862016] (22)Invalid argument: [client 172.17.0.1:39996] AH01075: Error dispatching request to : (passing brigade to output filters), referer: http://pagebuilder.local/wp-admin/post.php?post=8&action=edit
[Thu Mar 26 14:02:23.942477 2020] [proxy_fcgi:error] [pid 527:tid 140151460181760] [client 172.17.0.1:40904] AH01068: Got bogus version 112, referer: http://pagebuilder.local/wp-admin/post.php?post=8&action=edit
[Thu Mar 26 14:02:23.942753 2020] [proxy_fcgi:error] [pid 527:tid 140151460181760] (22)Invalid argument: [client 172.17.0.1:40904] AH01075: Error dispatching request to : (passing brigade to output filters), referer: http://pagebuilder.local/wp-admin/post.php?post=8&action=edit
[Thu Mar 26 14:02:30.098980 2020] [proxy_fcgi:error] [pid 528:tid 140151476967168] [client 172.17.0.1:41148] AH01068: Got bogus version 99, referer: http://pagebuilder.local/wp-admin/post.php?post=8&action=edit
[Thu Mar 26 14:02:30.099298 2020] [proxy_fcgi:error] [pid 528:tid 140151476967168] (22)Invalid argument: [client 172.17.0.1:41148] AH01075: Error dispatching request to : (passing brigade to output filters), referer: http://pagebuilder.local/wp-admin/post.php?post=8&action=edit
